Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2016-06-23,6380.58,6338.1,6261.19,6261.19,915162060.0
2016-06-24,6338.55,6138.69,5788.74,6338.1,3877630177.0
2016-06-27,6138.69,5982.2,5958.66,6138.69,2505596891.0
2016-06-28,6170.26,6140.39,5982.2,5982.2,1593184500.0
2016-06-29,6360.06,6360.06,6140.39,6140.39,1503579174.0
2016-06-30,6504.33,6504.33,6309.98,6360.06,1559507855.0
2016-07-01,6587.44,6577.83,6498.56,6504.33,1099086711.0
2016-07-04,6612.13,6522.26,6514.81,6577.83,748239553.0
2016-07-05,6561.58,6545.37,6472.25,6522.26,1177409575.0
2016-07-06,6580.32,6463.59,6432.47,6545.37,1614466230.0
2016-07-07,6579.25,6533.79,6463.59,6463.59,1048933804.0
2016-07-08,6605.83,6590.64,6515.24,6533.79,937835219.0
2016-07-11,6695.07,6682.86,6590.64,6590.64,968335598.0
2016-07-12,6703.09,6680.69,6663.66,6682.86,1165363528.0
2016-07-13,6717.17,6670.4,6654.64,6680.69,1060124088.0
2016-07-14,6743.42,6654.47,6648.4,6670.4,924135479.0
2016-07-15,6669.24,6669.24,6616.51,6654.47,839245313.0
2016-07-18,6715.58,6695.42,6653.67,6669.24,878073699.0
2016-07-19,6711.69,6697.37,6660.87,6695.42,634735062.0
2016-07-20,6736.57,6728.99,6694.36,6697.37,767731136.0
2016-07-21,6732.07,6699.89,6694.52,6728.99,809665062.0
2016-07-22,6735.94,6730.48,6663.72,6699.89,716108866.0
2016-07-25,6756.13,6710.13,6691.03,6730.48,682058535.0
2016-07-26,6744.8,6724.03,6708.58,6710.13,737762383.0
2016-07-27,6780.05,6750.43,6723.71,6724.03,786512113.0
2016-07-28,6762.72,6721.06,6718.9,6750.43,1204906563.0
2016-07-29,6740.47,6724.43,6691.13,6721.06,921702742.0
2016-08-01,6769.41,6693.95,6678.45,6724.43,727709723.0
2016-08-02,6694.14,6645.4,6630.76,6693.95,822027875.0
2016-08-03,6673.63,6634.4,6621.42,6645.4,797079420.0
2016-08-04,6749.67,6740.16,6615.83,6634.4,1004816465.0
2016-08-05,6802.41,6793.47,6738.57,6740.16,880798031.0
2016-08-08,6829.47,6809.13,6781.47,6793.47,754483559.0
2016-08-09,6863.1,6851.3,6807.76,6809.13,869307305.0
2016-08-10,6866.42,6866.42,6820.04,6851.3,736642653.0
2016-08-11,6914.71,6914.71,6812.73,6866.42,758103099.0
2016-08-12,6931.04,6916.02,6896.04,6914.71,686792023.0
